Date, Price ,Open,High,Low,Vol.,Change %
15-Sep-2017,"$7,215.47 ","7,295.39","7,295.39","7,196.58",1.46B,-1.10%
14-Sep-2017,"$7,295.39 ","7,379.70","7,390.70","7,287.73",1.26B,-1.14%
13-Sep-2017,"$7,379.70 ","7,400.69","7,401.30","7,336.23",870.09M,-0.28%
12-Sep-2017,"$7,400.69 ","7,413.59","7,435.84","7,386.98",768.76M,-0.17%
11-Sep-2017,"$7,413.59 ","7,377.60","7,434.07","7,377.60",633.81M,0.49%
08-Sep-2017,"$7,377.60 ","7,396.98","7,396.98","7,358.42",619.11M,-0.26%
07-Sep-2017,"$7,396.98 ","7,354.13","7,412.68","7,348.38",663.67M,0.58%
06-Sep-2017,"$7,354.13 ","7,372.92","7,372.92","7,322.42",697.15M,-0.25%
05-Sep-2017,"$7,372.92 ","7,411.47","7,437.51","7,369.58",558.08M,-0.52%
04-Sep-2017,"$7,411.47 ","7,438.50","7,438.50","7,404.05",398.67M,-0.36%
01-Sep-2017,"$7,438.50 ","7,430.62","7,460.52","7,430.06",552.91M,0.11%
31-Aug-2017,"$7,430.62 ","7,365.26","7,443.68","7,365.01",784.89M,0.89%
30-Aug-2017,"$7,365.26 ","7,337.43","7,381.33","7,337.43",686.61M,0.38%
29-Aug-2017,"$7,337.43 ","7,401.46","7,401.62","7,289.20",757.21M,-0.87%
25-Aug-2017,"$7,401.46 ","7,407.06","7,439.53","7,401.46",513.07M,-0.08%
24-Aug-2017,"$7,407.06 ","7,382.65","7,437.87","7,382.16",756.85M,0.33%
23-Aug-2017,"$7,382.65 ","7,381.74","7,394.52","7,360.33",611.96M,0.01%
22-Aug-2017,"$7,381.74 ","7,318.88","7,387.55","7,318.88",676.38M,0.86%
21-Aug-2017,"$7,318.88 ","7,323.98","7,331.95","7,296.80",552.91M,-0.07%
18-Aug-2017,"$7,323.98 ","7,387.87","7,387.87","7,302.47",741.56M,-0.86%
17-Aug-2017,"$7,387.87 ","7,433.03","7,433.74","7,382.16",593.94M,-0.61%
16-Aug-2017,"$7,433.03 ","7,383.85","7,444.98","7,383.85",586.26M,0.67%
15-Aug-2017,"$7,383.85 ","7,353.89","7,399.35","7,353.89",510.54M,0.41%
14-Aug-2017,"$7,353.89 ","7,309.96","7,377.66","7,309.96",553.29M,0.60%
11-Aug-2017,"$7,309.96 ","7,389.94","7,389.96","7,296.49",767.62M,-1.08%
10-Aug-2017,"$7,389.94 ","7,498.06","7,498.06","7,376.66",735.23M,-1.44%
09-Aug-2017,"$7,498.06 ","7,542.73","7,542.73","7,475.83",803.93M,-0.59%
08-Aug-2017,"$7,542.73 ","7,531.94","7,551.85","7,518.45",615.74M,0.14%
07-Aug-2017,"$7,531.94 ","7,511.71","7,533.74","7,511.71",632.19M,0.27%
04-Aug-2017,"$7,511.71 ","7,474.77","7,519.06","7,465.12",776.41M,0.49%
03-Aug-2017,"$7,474.77 ","7,411.43","7,484.53","7,384.22",819.30M,0.85%
02-Aug-2017,"$7,411.43 ","7,423.66","7,434.71","7,388.91",731.35M,-0.16%
01-Aug-2017,"$7,423.66 ","7,372.00","7,440.14","7,372.00",740.61M,0.70%
31-Jul-2017,"$7,372.00 ","7,368.37","7,425.52","7,367.86",927.04M,0.05%
28-Jul-2017,"$7,368.37 ","7,443.01","7,443.01","7,339.44",822.65M,-1.00%
27-Jul-2017,"$7,443.01 ","7,452.32","7,461.85","7,410.85",1.01B,-0.12%
26-Jul-2017,"$7,452.32 ","7,434.82","7,487.05","7,434.68",774.93M,0.24%
25-Jul-2017,"$7,434.82 ","7,377.73","7,453.74","7,377.73",798.83M,0.77%
24-Jul-2017,"$7,377.73 ","7,452.91","7,453.22","7,357.50",1.11B,-1.01%
21-Jul-2017,"$7,452.91 ","7,487.87","7,515.12","7,433.89",722.77M,-0.47%
20-Jul-2017,"$7,487.87 ","7,430.91","7,502.73","7,430.91",728.09M,0.77%
19-Jul-2017,"$7,430.91 ","7,390.22","7,442.84","7,379.33",660.42M,0.55%
18-Jul-2017,"$7,390.22 ","7,404.13","7,418.53","7,357.77",634.51M,-0.19%
17-Jul-2017,"$7,404.13 ","7,378.39","7,426.37","7,378.30",613.97M,0.35%
14-Jul-2017,"$7,378.39 ","7,413.44","7,419.81","7,363.77",852.44M,-0.47%
13-Jul-2017,"$7,413.44 ","7,416.93","7,428.24","7,403.75",970.71M,-0.05%
12-Jul-2017,"$7,416.93 ","7,329.76","7,439.08","7,329.76",821.52M,1.19%
11-Jul-2017,"$7,329.76 ","7,370.03","7,386.88","7,304.77",683.49M,-0.55%
10-Jul-2017,"$7,370.03 ","7,350.92","7,388.02","7,344.31",615.60M,0.26%
